field,actual,predicted_rule,count
consensus_event_type,earnings,analyst,0
consensus_event_type,earnings,capital,0
consensus_event_type,earnings,debt,0
consensus_event_type,earnings,dividend,2
consensus_event_type,earnings,earnings,9
consensus_event_type,earnings,governance,0
consensus_event_type,earnings,legal,1
consensus_event_type,earnings,market,0
consensus_event_type,earnings,other,0
consensus_event_type,earnings,project,1
consensus_event_type,earnings,sector,0
consensus_event_type,earnings,unclear,0
consensus_event_type,governance,analyst,0
consensus_event_type,governance,capital,0
consensus_event_type,governance,debt,0
consensus_event_type,governance,dividend,0
consensus_event_type,governance,earnings,3
consensus_event_type,governance,governance,0
consensus_event_type,governance,legal,2
consensus_event_type,governance,market,0
consensus_event_type,governance,other,1
consensus_event_type,governance,project,9
consensus_event_type,governance,sector,0
consensus_event_type,governance,unclear,8
consensus_event_type,legal,analyst,0
consensus_event_type,legal,capital,0
consensus_event_type,legal,debt,0
consensus_event_type,legal,dividend,0
consensus_event_type,legal,earnings,0
consensus_event_type,legal,governance,0
consensus_event_type,legal,legal,3
consensus_event_type,legal,market,0
consensus_event_type,legal,other,0
consensus_event_type,legal,project,0
consensus_event_type,legal,sector,0
consensus_event_type,legal,unclear,0
consensus_event_type,market,analyst,0
consensus_event_type,market,capital,0
consensus_event_type,market,debt,0
consensus_event_type,market,dividend,0
consensus_event_type,market,earnings,7
consensus_event_type,market,governance,0
consensus_event_type,market,legal,0
consensus_event_type,market,market,0
consensus_event_type,market,other,0
consensus_event_type,market,project,1
consensus_event_type,market,sector,0
consensus_event_type,market,unclear,3
consensus_event_type,other,analyst,0
consensus_event_type,other,capital,0
consensus_event_type,other,debt,0
consensus_event_type,other,dividend,0
consensus_event_type,other,earnings,2
consensus_event_type,other,governance,0
consensus_event_type,other,legal,0
consensus_event_type,other,market,0
consensus_event_type,other,other,0
consensus_event_type,other,project,3
consensus_event_type,other,sector,0
consensus_event_type,other,unclear,6
consensus_event_type,project,analyst,0
consensus_event_type,project,capital,0
consensus_event_type,project,debt,0
consensus_event_type,project,dividend,0
consensus_event_type,project,earnings,1
consensus_event_type,project,governance,0
consensus_event_type,project,legal,0
consensus_event_type,project,market,0
consensus_event_type,project,other,0
consensus_event_type,project,project,1
consensus_event_type,project,sector,0
consensus_event_type,project,unclear,0
consensus_event_type,sector,analyst,0
consensus_event_type,sector,capital,0
consensus_event_type,sector,debt,0
consensus_event_type,sector,dividend,0
consensus_event_type,sector,earnings,1
consensus_event_type,sector,governance,0
consensus_event_type,sector,legal,0
consensus_event_type,sector,market,0
consensus_event_type,sector,other,0
consensus_event_type,sector,project,0
consensus_event_type,sector,sector,0
consensus_event_type,sector,unclear,0
consensus_event_type,unclear,analyst,0
consensus_event_type,unclear,capital,0
consensus_event_type,unclear,debt,0
consensus_event_type,unclear,dividend,0
consensus_event_type,unclear,earnings,0
consensus_event_type,unclear,governance,0
consensus_event_type,unclear,legal,0
consensus_event_type,unclear,market,0
consensus_event_type,unclear,other,0
consensus_event_type,unclear,project,0
consensus_event_type,unclear,sector,0
consensus_event_type,unclear,unclear,0
consensus_materiality,high,high,21
consensus_materiality,high,low,0
consensus_materiality,high,medium,5
consensus_materiality,high,unclear,2
consensus_materiality,low,high,17
consensus_materiality,low,low,0
consensus_materiality,low,medium,17
consensus_materiality,low,unclear,20
consensus_materiality,medium,high,25
consensus_materiality,medium,low,0
consensus_materiality,medium,medium,6
consensus_materiality,medium,unclear,9
consensus_materiality,unclear,high,0
consensus_materiality,unclear,low,0
consensus_materiality,unclear,medium,0
consensus_materiality,unclear,unclear,0
consensus_ticker_relevance,direct,direct,84
consensus_ticker_relevance,direct,indirect,0
consensus_ticker_relevance,direct,market_wide,2
consensus_ticker_relevance,direct,unclear,30
consensus_ticker_relevance,indirect,direct,1
consensus_ticker_relevance,indirect,indirect,0
consensus_ticker_relevance,indirect,market_wide,0
consensus_ticker_relevance,indirect,unclear,0
consensus_ticker_relevance,market_wide,direct,0
consensus_ticker_relevance,market_wide,indirect,0
consensus_ticker_relevance,market_wide,market_wide,0
consensus_ticker_relevance,market_wide,unclear,5
consensus_ticker_relevance,unclear,direct,0
consensus_ticker_relevance,unclear,indirect,0
consensus_ticker_relevance,unclear,market_wide,0
consensus_ticker_relevance,unclear,unclear,0
