artifact_schema_version,news_id,ticker,effective_date,placebo_window,pre_window_start_offset,pre_window_end_offset,pre_window_start_date,pre_window_end_date,ticker_relevance,materiality,direction,event_type,raw_return,benchmark_return,market_adjusted_return
placebo_pre_event_outcomes_v1,b3e9706d0a256bda,ANV,2026-01-05,T-60:T-21,-60,-21,2025-10-09,2025-12-03,direct,low,neutral,governance,-0.09033480732785848,0.008913642533804778,-0.09924844986166326
placebo_pre_event_outcomes_v1,fa2ea1a55751f3bb,BCM,2026-02-02,T-20:T-1,-20,-1,2026-01-05,2026-01-30,direct,high,mixed,earnings,0.11455211455211445,0.02272422276895547,0.09182789178315898
placebo_pre_event_outcomes_v1,fa2ea1a55751f3bb,BCM,2026-02-02,T-60:T-21,-60,-21,2025-11-06,2025-12-31,direct,high,mixed,earnings,-0.10039982230119948,0.08635489212487202,-0.1867547144260715
placebo_pre_event_outcomes_v1,fed17cd88a4aca40,BID,2022-05-09,T-20:T-1,-20,-1,2022-04-06,2022-05-06,direct,low,neutral,governance,-0.14928684627575284,-0.1271521439359118,-0.02213470233984105
placebo_pre_event_outcomes_v1,fed17cd88a4aca40,BID,2022-05-09,T-60:T-21,-60,-21,2022-02-09,2022-04-05,direct,low,neutral,governance,-0.10541310541310545,0.009731762080006368,-0.11514486749311181
placebo_pre_event_outcomes_v1,582cc478b9e7d45d,BID,2025-03-07,T-20:T-1,-20,-1,2025-02-07,2025-03-06,direct,low,neutral,governance,0.0074906367041198685,0.03373588456712673,-0.02624524786300686
placebo_pre_event_outcomes_v1,582cc478b9e7d45d,BID,2025-03-07,T-60:T-21,-60,-21,2024-12-05,2025-02-06,direct,low,neutral,governance,0.04680851063829783,0.0031162970501685816,0.04369221358812925
placebo_pre_event_outcomes_v1,b06449b4c3ee385d,BID,2025-10-08,T-20:T-1,-20,-1,2025-09-10,2025-10-07,direct,low,support,dividend,-0.00496894409937898,0.025583291749327497,-0.030552235848706477
placebo_pre_event_outcomes_v1,b06449b4c3ee385d,BID,2025-10-08,T-60:T-21,-60,-21,2025-07-14,2025-09-09,direct,low,support,dividend,0.05180533751962324,0.1135049849702805,-0.06169964745065726
placebo_pre_event_outcomes_v1,342191df7069efc8,BID,2026-04-09,T-20:T-1,-20,-1,2026-03-12,2026-04-08,direct,low,neutral,debt,0.01717791411042957,0.027456554418844092,-0.010278640308414522
placebo_pre_event_outcomes_v1,342191df7069efc8,BID,2026-04-09,T-60:T-21,-60,-21,2026-01-08,2026-03-11,direct,low,neutral,debt,-0.031358885017421456,-0.06856151242751518,0.037202627410093725
placebo_pre_event_outcomes_v1,65ad9f2e9660ad80,BID,2026-06-25,T-20:T-1,-20,-1,2026-05-28,2026-06-24,direct,low,neutral,debt,-0.009411764705882342,0.007699861026898569,-0.01711162573278091
placebo_pre_event_outcomes_v1,65ad9f2e9660ad80,BID,2026-06-25,T-60:T-21,-60,-21,2026-03-30,2026-05-27,direct,low,neutral,debt,0.09759188846641309,0.12744956512324523,-0.029857676656832144
placebo_pre_event_outcomes_v1,5822c6ef24630e2c,BMP,2025-04-08,T-20:T-1,-20,-1,2025-03-10,2025-04-04,direct,high,support,earnings,-0.06054338629312772,-0.08991340168986972,0.029370015396742
placebo_pre_event_outcomes_v1,5822c6ef24630e2c,BMP,2025-04-08,T-60:T-21,-60,-21,2025-01-06,2025-03-07,direct,high,support,earnings,-0.053447822658372,0.06394672443535132,-0.11739454709372332
placebo_pre_event_outcomes_v1,519081e652305911,BMP,2025-07-24,T-20:T-1,-20,-1,2025-06-26,2025-07-23,direct,high,support,earnings,0.03742384682332456,0.10737586679065947,-0.06995201996733491
placebo_pre_event_outcomes_v1,519081e652305911,BMP,2025-07-24,T-60:T-21,-60,-21,2025-04-28,2025-06-25,direct,high,support,earnings,0.02597613442649571,0.11407727420932501,-0.0881011397828293
placebo_pre_event_outcomes_v1,63b5072dfae14dee,BSI,2025-07-16,T-20:T-1,-20,-1,2025-06-18,2025-07-15,direct,low,neutral,capital,0.10274341043571811,0.08450955205928001,0.018233858376438095
placebo_pre_event_outcomes_v1,63b5072dfae14dee,BSI,2025-07-16,T-60:T-21,-60,-21,2025-04-18,2025-06-17,direct,low,neutral,capital,-0.09209876543209872,0.10546131635934142,-0.19756008179144013
placebo_pre_event_outcomes_v1,ed12abda86a67b0b,BSI,2026-06-04,T-20:T-1,-20,-1,2026-05-07,2026-06-03,direct,medium,support,dividend,-0.01412429378531066,-0.04714485518671985,0.03302056140140919
placebo_pre_event_outcomes_v1,ed12abda86a67b0b,BSI,2026-06-04,T-60:T-21,-60,-21,2026-03-09,2026-05-06,direct,medium,support,dividend,0.005624999999999991,0.14424700052638273,-0.13862200052638274
placebo_pre_event_outcomes_v1,5c232a6d94067b66,BSI,2026-06-23,T-20:T-1,-20,-1,2026-05-26,2026-06-22,direct,medium,support,dividend,0.05670901766346437,-0.013942404653483176,0.07065142231694754
placebo_pre_event_outcomes_v1,5c232a6d94067b66,BSI,2026-06-23,T-60:T-21,-60,-21,2026-03-26,2026-05-25,direct,medium,support,dividend,0.036771884152294154,0.14678073487653753,-0.11000885072424338
placebo_pre_event_outcomes_v1,745469ffa2de6913,CMG,2023-11-16,T-20:T-1,-20,-1,2023-10-19,2023-11-15,direct,medium,support,dividend,-0.01237785016286641,0.03185181780576385,-0.04422966796863026
placebo_pre_event_outcomes_v1,745469ffa2de6913,CMG,2023-11-16,T-60:T-21,-60,-21,2023-08-22,2023-10-18,direct,medium,support,dividend,-0.02848101265822789,-0.06530339096476878,0.03682237830654089
placebo_pre_event_outcomes_v1,80c9c66a929fe80b,CSV,2026-04-06,T-20:T-1,-20,-1,2026-03-09,2026-04-03,direct,low,neutral,governance,-0.010771992818671472,0.018907423205609897,-0.02967941602428137
placebo_pre_event_outcomes_v1,80c9c66a929fe80b,CSV,2026-04-06,T-60:T-21,-60,-21,2026-01-05,2026-03-06,direct,low,neutral,governance,0.11567164179104461,-0.011496309550436234,0.12716795134148084
placebo_pre_event_outcomes_v1,144227efbfb0b1fd,CTG,2024-11-01,T-20:T-1,-20,-1,2024-10-04,2024-10-31,direct,low,support,market,0.002866502866502696,-0.004816622068314125,0.007683124934816821
placebo_pre_event_outcomes_v1,144227efbfb0b1fd,CTG,2024-11-01,T-60:T-21,-60,-21,2024-08-07,2024-10-03,direct,low,support,market,0.19893771125060344,0.0511728131065563,0.14776489814404714
placebo_pre_event_outcomes_v1,4a9f229783390a40,CTG,2026-04-06,T-20:T-1,-20,-1,2026-03-09,2026-04-03,direct,high,support,dividend,0.018072289156626287,0.018907423205609897,-0.0008351340489836101
placebo_pre_event_outcomes_v1,4a9f229783390a40,CTG,2026-04-06,T-60:T-21,-60,-21,2026-01-05,2026-03-06,direct,high,support,dividend,0.004225352112676051,-0.011496309550436234,0.015721661663112285
placebo_pre_event_outcomes_v1,aaf8ddc570e06136,DGW,2023-10-18,T-20:T-1,-20,-1,2023-09-20,2023-10-17,direct,medium,support,capital,-0.11802480070859167,-0.08519627113391115,-0.03282852957468052
placebo_pre_event_outcomes_v1,aaf8ddc570e06136,DGW,2023-10-18,T-60:T-21,-60,-21,2023-07-24,2023-09-19,direct,medium,support,capital,0.10630722278738558,0.017451625907014323,0.08885559688037126
placebo_pre_event_outcomes_v1,7499d124f4609de5,DPM,2024-07-12,T-20:T-1,-20,-1,2024-06-14,2024-07-11,direct,low,neutral,governance,0.014507772020725174,0.003039276199107599,0.011468495821617575
placebo_pre_event_outcomes_v1,7499d124f4609de5,DPM,2024-07-12,T-60:T-21,-60,-21,2024-04-15,2024-06-13,direct,low,neutral,governance,0.19717480871100657,0.06978407213486659,0.12739073657613997
placebo_pre_event_outcomes_v1,3af3366e99f22490,DPM,2025-07-15,T-20:T-1,-20,-1,2025-06-17,2025-07-14,direct,medium,support,capital,0.016965127238454336,0.09106693675845334,-0.074101809519999
placebo_pre_event_outcomes_v1,3af3366e99f22490,DPM,2025-07-15,T-60:T-21,-60,-21,2025-04-17,2025-06-16,direct,medium,support,capital,0.11971046770601323,0.09928938180324498,0.020421085902768255
placebo_pre_event_outcomes_v1,2cd1cea4e13c035f,FPT,2025-05-22,T-20:T-1,-20,-1,2025-04-21,2025-05-21,direct,low,neutral,capital,0.05913635396724093,0.09608390565584424,-0.03694755168860331
placebo_pre_event_outcomes_v1,2cd1cea4e13c035f,FPT,2025-05-22,T-60:T-21,-60,-21,2025-02-21,2025-04-18,direct,low,neutral,capital,-0.2140227576974565,-0.059865047233468416,-0.15415771046398807
placebo_pre_event_outcomes_v1,e511b713c411cfb1,FRT,2025-06-09,T-20:T-1,-20,-1,2025-05-12,2025-06-06,direct,medium,support,dividend,-0.044027070184776806,0.0363371413431417,-0.0803642115279185
placebo_pre_event_outcomes_v1,e511b713c411cfb1,FRT,2025-06-09,T-60:T-21,-60,-21,2025-03-11,2025-05-09,direct,medium,support,dividend,-0.0463921309550025,-0.04895913068275626,0.0025669997277537604
placebo_pre_event_outcomes_v1,651e52e06d17f47e,GAS,2022-10-17,T-20:T-1,-20,-1,2022-09-19,2022-10-14,direct,high,risk,other,0.016666666666666607,-0.11911102262263273,0.13577768928929934
placebo_pre_event_outcomes_v1,651e52e06d17f47e,GAS,2022-10-17,T-60:T-21,-60,-21,2022-07-21,2022-09-16,direct,high,risk,other,0.06637846883279885,0.02967116406751935,0.0367073047652795
placebo_pre_event_outcomes_v1,fef0ea3dbb1755aa,GEX,2024-06-27,T-20:T-1,-20,-1,2024-05-30,2024-06-26,direct,low,neutral,governance,-0.057409879839786515,-0.00401162423400081,-0.053398255605785705
placebo_pre_event_outcomes_v1,fef0ea3dbb1755aa,GEX,2024-06-27,T-60:T-21,-60,-21,2024-03-29,2024-05-29,direct,low,neutral,governance,-0.051898734177215244,-0.008916820472085196,-0.04298191370513005
placebo_pre_event_outcomes_v1,1aa4881826203fb1,HAH,2024-06-13,T-20:T-1,-20,-1,2024-05-16,2024-06-12,direct,low,neutral,governance,0.16088214027476488,0.024756064881224615,0.13612607539354027
placebo_pre_event_outcomes_v1,1aa4881826203fb1,HAH,2024-06-13,T-60:T-21,-60,-21,2024-03-15,2024-05-15,direct,low,neutral,governance,-0.05311857436600409,-0.00743009068033984,-0.04568848368566425
placebo_pre_event_outcomes_v1,f4ce34bd7ed494ae,HCM,2023-10-06,T-20:T-1,-20,-1,2023-09-08,2023-10-05,direct,medium,support,other,-0.1472642607683352,-0.10277249734188221,-0.044491763426453
placebo_pre_event_outcomes_v1,f4ce34bd7ed494ae,HCM,2023-10-06,T-60:T-21,-60,-21,2023-07-12,2023-09-07,direct,medium,support,other,0.12549800796812738,0.07705770230462661,0.04844030566350077
placebo_pre_event_outcomes_v1,fc451c7386926f52,HCM,2026-06-16,T-20:T-1,-20,-1,2026-05-19,2026-06-15,direct,low,neutral,capital,-0.08500000000000008,-0.05939579597789779,-0.025604204022102284
placebo_pre_event_outcomes_v1,fc451c7386926f52,HCM,2026-06-16,T-60:T-21,-60,-21,2026-03-19,2026-05-18,direct,low,neutral,capital,0.44038929440389296,0.13466303343475783,0.30572626096913513
placebo_pre_event_outcomes_v1,578037c8b4d40185,HDB,2025-12-29,T-20:T-1,-20,-1,2025-12-01,2025-12-26,direct,low,neutral,debt,0.13627006998764934,0.016530819724153156,0.11973925026349619
placebo_pre_event_outcomes_v1,578037c8b4d40185,HDB,2025-12-29,T-60:T-21,-60,-21,2025-10-06,2025-11-28,direct,low,neutral,debt,0.01605599011939063,-0.0026599823061044248,0.018715972425495053
placebo_pre_event_outcomes_v1,6b9101eca701bf06,HDB,2026-01-09,T-20:T-1,-20,-1,2025-12-10,2026-01-08,direct,low,neutral,debt,0.1617587736990722,0.0794540948702136,0.08230467882885861
placebo_pre_event_outcomes_v1,6b9101eca701bf06,HDB,2026-01-09,T-60:T-21,-60,-21,2025-10-15,2025-12-09,direct,low,neutral,debt,-0.04819749216300939,-0.006132142552404796,-0.0420653496106046
placebo_pre_event_outcomes_v1,82ce7a6c1f04b074,HDG,2023-06-21,T-20:T-1,-20,-1,2023-05-24,2023-06-20,direct,low,neutral,other,0.11022443890274314,0.04702436451652403,0.06320007438621911
placebo_pre_event_outcomes_v1,82ce7a6c1f04b074,HDG,2023-06-21,T-60:T-21,-60,-21,2023-03-24,2023-05-23,direct,low,neutral,other,0.18604651162790686,0.018208045548772755,0.1678384660791341
placebo_pre_event_outcomes_v1,b996a8e64acae8e8,HDG,2025-06-11,T-20:T-1,-20,-1,2025-05-14,2025-06-10,direct,medium,support,dividend,0.07481296758104738,0.004962854939567718,0.06985011264147967
placebo_pre_event_outcomes_v1,b996a8e64acae8e8,HDG,2025-06-11,T-60:T-21,-60,-21,2025-03-13,2025-05-13,direct,medium,support,dividend,-0.11948853615520283,-0.024761172310313828,-0.094727363844889
placebo_pre_event_outcomes_v1,031ef1d479fa02d5,HDG,2025-06-27,T-20:T-1,-20,-1,2025-05-30,2025-06-26,direct,low,neutral,governance,0.07290686735653806,0.024816148881885214,0.04809071847465285
placebo_pre_event_outcomes_v1,031ef1d479fa02d5,HDG,2025-06-27,T-60:T-21,-60,-21,2025-03-31,2025-05-29,direct,low,neutral,governance,0.02244039270687237,0.02678175167959851,-0.004341358972726139
placebo_pre_event_outcomes_v1,63185dd3ac4177cf,HPG,2024-05-10,T-20:T-1,-20,-1,2024-04-08,2024-05-09,direct,medium,support,capital,0.02847152847152845,-0.0013676170672209942,0.029839145538749445
placebo_pre_event_outcomes_v1,63185dd3ac4177cf,HPG,2024-05-10,T-60:T-21,-60,-21,2024-02-05,2024-04-05,direct,medium,support,capital,0.05174234424498425,0.05821796536431534,-0.0064756211193310875
placebo_pre_event_outcomes_v1,92061a9c025565e2,HPG,2024-11-12,T-20:T-1,-20,-1,2024-10-15,2024-11-11,direct,high,support,project,0.020297029702970315,-0.02401099072657442,0.04430802042954474
placebo_pre_event_outcomes_v1,92061a9c025565e2,HPG,2024-11-12,T-60:T-21,-60,-21,2024-08-16,2024-10-14,direct,high,support,project,0.05672268907563027,0.02723940490165533,0.029483284173974944
placebo_pre_event_outcomes_v1,4c44fbe1ea850e27,HPG,2025-06-27,T-20:T-1,-20,-1,2025-05-30,2025-06-26,direct,medium,mixed,dividend,0.06210855949895633,0.024816148881885214,0.037292410617071114
placebo_pre_event_outcomes_v1,4c44fbe1ea850e27,HPG,2025-06-27,T-60:T-21,-60,-21,2025-03-31,2025-05-29,direct,medium,mixed,dividend,-0.04472361809045211,0.02678175167959851,-0.07150536977005062
placebo_pre_event_outcomes_v1,7286bc84a26a50db,HPG,2025-07-09,T-20:T-1,-20,-1,2025-06-11,2025-07-08,direct,medium,support,market,0.13542739443872298,0.07623175182481745,0.05919564261390553
placebo_pre_event_outcomes_v1,7286bc84a26a50db,HPG,2025-07-09,T-60:T-21,-60,-21,2025-04-11,2025-06-10,direct,medium,support,market,0.07798672566371678,0.07670598628993996,0.001280739373776818
placebo_pre_event_outcomes_v1,e3eec1a48a8ca80b,HPG,2025-07-21,T-20:T-1,-20,-1,2025-06-23,2025-07-18,direct,low,neutral,capital,0.1577366049073612,0.10241646909835223,0.05532013580900896
placebo_pre_event_outcomes_v1,e3eec1a48a8ca80b,HPG,2025-07-21,T-60:T-21,-60,-21,2025-04-23,2025-06-20,direct,low,neutral,capital,0.056812204103103614,0.1142444260941371,-0.05743222199103348
placebo_pre_event_outcomes_v1,7ec9239ca89b5da0,HPG,2026-05-04,T-20:T-1,-20,-1,2026-04-01,2026-04-29,direct,high,support,dividend,0.02186468646864692,0.08877053079104824,-0.06690584432240132
placebo_pre_event_outcomes_v1,7ec9239ca89b5da0,HPG,2026-05-04,T-60:T-21,-60,-21,2026-01-28,2026-03-31,direct,high,support,dividend,0.007130872483221529,-0.07122929042492421,0.07836016290814574
placebo_pre_event_outcomes_v1,a25a3dff25b23e69,HSG,2024-03-21,T-20:T-1,-20,-1,2024-02-22,2024-03-20,direct,high,support,earnings,-0.008526187576126665,0.026700670572227025,-0.03522685814835369
placebo_pre_event_outcomes_v1,a25a3dff25b23e69,HSG,2024-03-21,T-60:T-21,-60,-21,2023-12-20,2024-02-21,direct,high,support,earnings,0.05555555555555558,0.11744612812965594,-0.061890572574100355
placebo_pre_event_outcomes_v1,83c98b30280a7431,HSG,2025-10-28,T-20:T-1,-20,-1,2025-09-30,2025-10-27,direct,high,risk,legal,-0.12594113620807668,-0.005512427032557055,-0.12042870917551962
placebo_pre_event_outcomes_v1,83c98b30280a7431,HSG,2025-10-28,T-60:T-21,-60,-21,2025-08-01,2025-09-29,direct,high,risk,legal,0.029515108924806688,0.11454578286662076,-0.08503067394181407
placebo_pre_event_outcomes_v1,cc76191bcfef8294,KDH,2022-07-25,T-20:T-1,-20,-1,2022-06-27,2022-07-22,direct,low,neutral,governance,0.028121484814398245,-0.0067009195058279625,0.03482240432022621
placebo_pre_event_outcomes_v1,cc76191bcfef8294,KDH,2022-07-25,T-60:T-21,-60,-21,2022-04-28,2022-06-24,direct,low,neutral,governance,-0.18193146417445483,-0.12251015921657449,-0.05942130495788034
placebo_pre_event_outcomes_v1,e3131981522eb814,KDH,2025-07-28,T-20:T-1,-20,-1,2025-06-30,2025-07-25,direct,medium,risk,capital,0.07369996258885148,0.11268322105706852,-0.03898325846821704
placebo_pre_event_outcomes_v1,e3131981522eb814,KDH,2025-07-28,T-60:T-21,-60,-21,2025-05-05,2025-06-27,direct,medium,risk,capital,0.06807131280388967,0.10595540502399103,-0.03788409222010136
placebo_pre_event_outcomes_v1,72b631fd7733f8b8,KDH,2026-04-22,T-20:T-1,-20,-1,2026-03-25,2026-04-21,direct,high,risk,earnings,-0.005802707930367634,0.10571164944909817,-0.1115143573794658
placebo_pre_event_outcomes_v1,72b631fd7733f8b8,KDH,2026-04-22,T-60:T-21,-60,-21,2026-01-21,2026-03-24,direct,high,risk,earnings,-0.12891986062717764,-0.14355800237610328,0.014638141748925637
placebo_pre_event_outcomes_v1,f489cb4720963cac,KDH,2026-04-24,T-20:T-1,-20,-1,2026-03-27,2026-04-23,direct,low,neutral,governance,-0.030303030303030165,0.11810138689622196,-0.14840441719925213
placebo_pre_event_outcomes_v1,f489cb4720963cac,KDH,2026-04-24,T-60:T-21,-60,-21,2026-01-23,2026-03-26,direct,low,neutral,governance,-0.11937716262975773,-0.12089010524965382,0.001512942619896096
placebo_pre_event_outcomes_v1,102309dd8fe68b6a,KLB,2025-06-11,T-20:T-1,-20,-1,2025-05-14,2025-06-10,direct,medium,risk,debt,0.3565989847715736,0.004962854939567718,0.3516361298320059
placebo_pre_event_outcomes_v1,102309dd8fe68b6a,KLB,2025-06-11,T-60:T-21,-60,-21,2025-03-13,2025-05-13,direct,medium,risk,debt,0.015228426395939021,-0.024761172310313828,0.03998959870625285
placebo_pre_event_outcomes_v1,d205c7fbea1369ca,LPB,2022-02-07,T-20:T-1,-20,-1,2021-12-31,2022-01-28,direct,low,neutral,governance,0.12074001947419677,-0.012894786021304339,0.1336348054955011
placebo_pre_event_outcomes_v1,d205c7fbea1369ca,LPB,2022-02-07,T-60:T-21,-60,-21,2021-11-05,2021-12-30,direct,low,neutral,governance,-0.036757775683317506,0.020226431675717915,-0.05698420735903542
placebo_pre_event_outcomes_v1,d690cb3815f50a17,LPB,2025-09-18,T-20:T-1,-20,-1,2025-08-19,2025-09-17,direct,low,neutral,debt,0.05834363411619292,0.010137830975698314,0.04820580314049461
placebo_pre_event_outcomes_v1,d690cb3815f50a17,LPB,2025-09-18,T-60:T-21,-60,-21,2025-06-24,2025-08-18,direct,low,neutral,debt,0.26089850249584035,0.1972533784030963,0.06364512409274403
placebo_pre_event_outcomes_v1,d9738b5986b23b91,LPB,2025-10-28,T-20:T-1,-20,-1,2025-09-30,2025-10-27,direct,low,neutral,debt,0.04852501068832815,-0.005512427032557055,0.054037437720885206
placebo_pre_event_outcomes_v1,d9738b5986b23b91,LPB,2025-10-28,T-60:T-21,-60,-21,2025-08-01,2025-09-29,direct,low,neutral,debt,0.38558282208588945,0.11454578286662076,0.2710370392192687
placebo_pre_event_outcomes_v1,8706c7d3fed606ac,LPB,2026-01-06,T-20:T-1,-20,-1,2025-12-05,2026-01-05,direct,low,neutral,governance,-0.157975797579758,0.027036960466772397,-0.1850127580465304
placebo_pre_event_outcomes_v1,8706c7d3fed606ac,LPB,2026-01-06,T-60:T-21,-60,-21,2025-10-10,2025-12-04,direct,low,neutral,governance,-0.04060705496308448,-0.005899688134817338,-0.03470736682826714
placebo_pre_event_outcomes_v1,24debd1d8c9f2ef5,LPB,2026-01-09,T-20:T-1,-20,-1,2025-12-10,2026-01-08,direct,low,neutral,governance,-0.04979650466842245,0.0794540948702136,-0.12925059953863605
placebo_pre_event_outcomes_v1,24debd1d8c9f2ef5,LPB,2026-01-09,T-60:T-21,-60,-21,2025-10-15,2025-12-09,direct,low,neutral,governance,-0.14725184577522554,-0.006132142552404796,-0.14111970322282075
placebo_pre_event_outcomes_v1,0524672d9cbb31a1,MBB,2025-11-17,T-20:T-1,-20,-1,2025-10-20,2025-11-14,direct,high,risk,debt,-0.06930693069306926,-0.0005927537383206838,-0.06871417695474857
placebo_pre_event_outcomes_v1,0524672d9cbb31a1,MBB,2025-11-17,T-60:T-21,-60,-21,2025-08-21,2025-10-17,direct,high,risk,debt,-0.03900709219858145,0.02558649289099524,-0.06459358508957669
placebo_pre_event_outcomes_v1,a173577cc7e68810,MBB,2026-02-12,T-20:T-1,-20,-1,2026-01-15,2026-02-11,direct,medium,support,market,0.06422018348623859,-0.036438223938223935,0.10065840742446253
placebo_pre_event_outcomes_v1,a173577cc7e68810,MBB,2026-02-12,T-60:T-21,-60,-21,2025-11-18,2026-01-14,direct,medium,support,market,0.14556962025316444,0.14128391729721912,0.004285702955945325
placebo_pre_event_outcomes_v1,95fdfe22f98aa628,MBS,2025-08-05,T-20:T-1,-20,-1,2025-07-08,2025-08-04,direct,medium,support,dividend,0.2729566094853684,0.07964195385245776,0.19331465563291061
placebo_pre_event_outcomes_v1,95fdfe22f98aa628,MBS,2025-08-05,T-60:T-21,-60,-21,2025-05-13,2025-07-07,direct,medium,support,dividend,0.03361344537815136,0.08398599073780555,-0.050372545359654186
placebo_pre_event_outcomes_v1,e44563bbbfc1e49b,MBS,2025-09-25,T-20:T-1,-20,-1,2025-08-26,2025-09-24,direct,low,neutral,governance,-0.13480553724456168,-0.006098475081403043,-0.12870706216315864
placebo_pre_event_outcomes_v1,e44563bbbfc1e49b,MBS,2025-09-25,T-60:T-21,-60,-21,2025-07-01,2025-08-25,direct,low,neutral,governance,0.48240938166311276,0.17142048423619594,0.3109888974269168
placebo_pre_event_outcomes_v1,0332db9674ce5215,MSB,2025-02-04,T-20:T-1,-20,-1,2024-12-30,2025-02-03,direct,low,neutral,other,-0.04717948717948728,-0.014929010550148614,-0.032250476629338665
placebo_pre_event_outcomes_v1,0332db9674ce5215,MSB,2025-02-04,T-60:T-21,-60,-21,2024-11-04,2024-12-27,direct,low,neutral,other,-0.004085801838610736,0.02444746165773548,-0.028533263496346217
placebo_pre_event_outcomes_v1,fd7c9fb710f223e4,MSN,2022-01-06,T-20:T-1,-20,-1,2021-12-08,2022-01-05,direct,low,risk,market,0.06723295135828189,0.04792582956493008,0.01930712179335181
placebo_pre_event_outcomes_v1,567b404ff43a81ef,MWG,2022-05-25,T-20:T-1,-20,-1,2022-04-25,2022-05-24,direct,medium,support,capital,-0.08217410010038728,-0.05914929972843497,-0.023024800371952314
placebo_pre_event_outcomes_v1,567b404ff43a81ef,MWG,2022-05-25,T-60:T-21,-60,-21,2022-02-25,2022-04-22,direct,medium,support,capital,0.13230629814227468,-0.07983240931622737,0.21213870745850205
placebo_pre_event_outcomes_v1,c30a5a7c00bebf0c,MWG,2022-09-28,T-20:T-1,-20,-1,2022-08-29,2022-09-27,direct,medium,mixed,earnings,-0.09331845445668852,-0.08204280768020145,-0.01127564677648707
placebo_pre_event_outcomes_v1,c30a5a7c00bebf0c,MWG,2022-09-28,T-60:T-21,-60,-21,2022-07-04,2022-08-26,direct,medium,mixed,earnings,0.06485992691839204,0.07280453020835953,-0.007944603289967489
placebo_pre_event_outcomes_v1,a9015ca07d66a427,MWG,2025-10-21,T-20:T-1,-20,-1,2025-09-23,2025-10-20,direct,medium,support,capital,0.03984575835475579,0.000715482553233171,0.03913027580152262
placebo_pre_event_outcomes_v1,a9015ca07d66a427,MWG,2025-10-21,T-60:T-21,-60,-21,2025-07-25,2025-09-22,direct,medium,support,capital,0.09129814550641946,0.06747957390946557,0.023818571596953886
placebo_pre_event_outcomes_v1,0fc9f81d4478e17d,NAB,2024-04-15,T-20:T-1,-20,-1,2024-03-18,2024-04-12,direct,medium,support,capital,-0.006984866123399325,0.02656888288462156,-0.03355374900802088
placebo_pre_event_outcomes_v1,982375660a2d5c2a,NLG,2024-07-24,T-20:T-1,-20,-1,2024-06-26,2024-07-23,direct,low,neutral,capital,-0.012191817935518712,-0.023334179061875626,0.011142361126356914
placebo_pre_event_outcomes_v1,982375660a2d5c2a,NLG,2024-07-24,T-60:T-21,-60,-21,2024-04-26,2024-06-25,direct,low,neutral,capital,0.11007518796992466,0.038891461075467815,0.07118372689445684
